claim_ids	premises	hypotheses	labels
1045	As hepatic overexpression of Cry1 lowered blood glucose concentrations and improved insulin sensitivity in insulin-resistant db/db mice, our results suggest that compounds that enhance cryptochrome activity may provide therapeutic benefit to individuals with type 2 diabetes.	Rhythmic expression of Cry1 translates directly into a circadian regulation of cAMP signaling in hepatic glucose metabolism.	neutral
1045	Cry proteins seemed to modulate GPCR activity directly through interaction with G(s)α.	Rhythmic expression of Cry1 translates directly into a circadian regulation of cAMP signaling in hepatic glucose metabolism.	neutral
1045	During fasting, mammals maintain normal glucose homeostasis by stimulating hepatic gluconeogenesis.	Rhythmic expression of Cry1 translates directly into a circadian regulation of cAMP signaling in hepatic glucose metabolism.	neutral
1048	Unexpectedly, a ribosomal protein (RP) expression screen reveals dynamic regulation of individual RPs within the vertebrate embryo.Collectively, these findings suggest that RP activity may be highly regulated to impart a new layer of specificity in the control of gene expression and mammalian development.	Ribosomopathies have a high degree of cell and tissue specific pathology.	entailment
1048	Our data reveal that RPL38 facilitates 80S complex formation on these mRNAs as a regulatory component of the ribosome to confer transcript-specific translational control.	Ribosomopathies have a high degree of cell and tissue specific pathology.	neutral
1048	We further show that Rpl38 expression is markedly enriched in regions of the embryo where loss-of-function phenotypes occur.	Ribosomopathies have a high degree of cell and tissue specific pathology.	neutral
1050	Treatment with 5 mg/d of risedronate, compared with placebo, decreased the cumulative incidence of new vertebral fractures by 41 % (95% confidence interval [CI], 18%-58%) over 3 years (11.3 % vs 16.3%; P= .003).The cumulative incidence of nonvertebral fractures over 3 years was reduced by 39% (95% CI, 6%-61 %) (5.2 % vs 8.4%; P = .02).	Risedronate increases risk of vertebral and non-vertebral fractures.	contradiction
1050	Vitamin D (cholecalciferol, up to 500 IU/d) was provided if baseline levels of 25-hydroxyvitamin D were low.	Risedronate increases risk of vertebral and non-vertebral fractures.	neutral
1050	Bone mineral density increased significantly compared with placebo at the lumbar spine (5.4% vs 1.1 %), femoral neck (1.6% vs -1.2%), femoral trochanter (3.3% vs -0.7%), and midshaft of the radius (0.2% vs -1.4%).	Risedronate increases risk of vertebral and non-vertebral fractures.	neutral
1054	Among 1202 patients who we identified in 5 studies, the overall benefit of antihypertensive therapy compared with the control or placebo group had a combined hazard ratio for cardiovascular events of 0.69 (95% CI: 0.56 to 0.84) using a fixed-effects model and 0.62 (95% CI: 0.45 to 0.86) using a random-effects model.	Risk of cardiovascular events can be cut by a third by using antihypertensive drug therapy among hemodialysis patients.	entailment
1054	In a sensitivity analysis, we found that the hypertensive group had a pooled hazard ratio of 0.49 (95% CI: 0.35 to 0.67), but when normotensives were included in the trial, lesser cardiovascular protection was seen (pooled hazard ratio of 0.86 [95% CI: 0.67 to 1.12]).	Risk of cardiovascular events can be cut by a third by using antihypertensive drug therapy among hemodialysis patients.	neutral
1055	Synthesis of the available adjusted estimates on mortality yielded a summary relative risk of 0.96 (95% confidence interval [CI], 0.93–1.00) for teaching versus nonteaching healthcare structures and 1.04 (95% CI, 0.99–1.10) for minor teaching versus nonteaching ones.	Risk-adjusted mortality rates are similar in teaching and non-teaching hospitals.	entailment
1055	Conclusions  The available data are limited by their nonrandomized design, but overall they do not suggest that a healthcare facility's teaching status on its own markedly improves or worsens patient outcomes.	Risk-adjusted mortality rates are similar in teaching and non-teaching hospitals.	entailment
1055	Methods and Findings  We reviewed all studies that compared teaching versus nonteaching healthcare structures for mortality or any other patient outcome, regardless of health condition.	Risk-adjusted mortality rates are similar in teaching and non-teaching hospitals.	neutral
1055	Differences were seen for some diagnoses (e.g., significantly better survival for breast cancer and cerebrovascular accidents in teaching hospitals and significantly better survival from cholecystectomy in nonteaching hospitals), but these were small in magnitude.	Risk-adjusted mortality rates are similar in teaching and non-teaching hospitals.	neutral
1056	There was a significantly greater improvement in the Constant-Murley score in the specific exercise group than in the control exercise group (24 points (95% confidence interval 19 to 28.0) v 9 points (5 to 13); mean difference between group: 15 points (8.5 to 20.6)).	Rotator cuff exercises are more effective than general exercise therapy in reducing pain and improving function of the shoulder.	entailment
1056	CONCLUSION A specific exercise strategy, focusing on strengthening eccentric exercises for the rotator cuff and concentric/eccentric exercises for the scapula stabilisers, is effective in reducing pain and improving shoulder function in patients with persistent subacromial impingement syndrome.	Rotator cuff exercises are more effective than general exercise therapy in reducing pain and improving function of the shoulder.	neutral
1065	A detailed analysis of multiple muscles harvested at various time points during aging in different cohorts of these mice showed that the muscles were of normal size, despite low regenerative capacity, but did have increased fibrosis.	Satellite cell dysfunction is a key factor in sarcopenia development.	contradiction
1065	These results suggest that lifelong reduction of satellite cells neither accelerated nor exacerbated sarcopenia and that satellite cells did not contribute to the maintenance of muscle size or fiber type composition during aging, but that their loss may contribute to age-related muscle fibrosis.	Satellite cell dysfunction is a key factor in sarcopenia development.	contradiction
1065	We tested this hypothesis in male sedentary mice by experimentally depleting satellite cells in young adult animals to a degree sufficient to impair regeneration throughout the rest of their lives.	Satellite cell dysfunction is a key factor in sarcopenia development.	neutral
1065	Although the etiology of sarcopenia is unknown, the correlation during aging between the loss of activity of satellite cells, which are endogenous muscle stem cells, and impaired muscle regenerative capacity has led to the hypothesis that the loss of satellite cell activity is also a cause of sarcopenia.	Satellite cell dysfunction is a key factor in sarcopenia development.	neutral
1069	There was a significantly greater improvement in the Constant-Murley score in the specific exercise group than in the control exercise group (24 points (95% confidence interval 19 to 28.0) v 9 points (5 to 13); mean difference between group: 15 points (8.5 to 20.6)).	Scapular stabilizer exercises are more effective than general exercise therapy in reducing pain and improving function of the shoulder.	entailment
1069	Significantly more patients in the specific exercise group reported successful outcome (defined as large improvement or recovered) in the patients' global assessment of change because of treatment: 69% (35/51) v 24% (11/46); odds ratio 7.6, 3.1 to 18.9; P<0.001.	Scapular stabilizer exercises are more effective than general exercise therapy in reducing pain and improving function of the shoulder.	entailment
1069	CONCLUSION A specific exercise strategy, focusing on strengthening eccentric exercises for the rotator cuff and concentric/eccentric exercises for the scapula stabilisers, is effective in reducing pain and improving shoulder function in patients with persistent subacromial impingement syndrome.	Scapular stabilizer exercises are more effective than general exercise therapy in reducing pain and improving function of the shoulder.	entailment
1069	RESULTS Most (97, 95%) participants completed the 12 week study.	Scapular stabilizer exercises are more effective than general exercise therapy in reducing pain and improving function of the shoulder.	neutral
1069	PARTICIPANTS 102 patients with long standing (over six months) persistent subacromial impingement syndrome in whom earlier conservative treatment had failed, recruited through orthopaedic specialists.	Scapular stabilizer exercises are more effective than general exercise therapy in reducing pain and improving function of the shoulder.	neutral
1069	SETTING Department of orthopaedics in a Swedish university hospital.	Scapular stabilizer exercises are more effective than general exercise therapy in reducing pain and improving function of the shoulder.	neutral
1072	In-hospital mortality using clinical criteria declined (−3.3%/y [95% CI, −5.6% to −1.0%], P = .004), but there was no significant change in the combined outcome of death or discharge to hospice (−1.3%/y [95% CI, −3.2% to 0.6%], P = .19).	Sepsis related mortality has remained stable between 2009-2014.	entailment
1072	Conclusions and Relevance In clinical data from 409 hospitals, sepsis was present in 6% of adult hospitalizations, and in contrast to claims-based analyses, neither the incidence of sepsis nor the combined outcome of death or discharge to hospice changed significantly between 2009-2014.	Sepsis related mortality has remained stable between 2009-2014.	entailment
1072	Case-finding criteria were validated against Sepsis-3 criteria using medical record reviews.	Sepsis related mortality has remained stable between 2009-2014.	neutral
1072	Of these, 26 061 (15.0%) died in the hospital and 10 731 (6.2%) were discharged to hospice.	Sepsis related mortality has remained stable between 2009-2014.	neutral
1073	In-hospital mortality using clinical criteria declined (−3.3%/y [95% CI, −5.6% to −1.0%], P = .004), but there was no significant change in the combined outcome of death or discharge to hospice (−1.3%/y [95% CI, −3.2% to 0.6%], P = .19).	Sepsis related mortality has risen from 2009 to 2014.	contradiction
1073	Conclusions and Relevance In clinical data from 409 hospitals, sepsis was present in 6% of adult hospitalizations, and in contrast to claims-based analyses, neither the incidence of sepsis nor the combined outcome of death or discharge to hospice changed significantly between 2009-2014.	Sepsis related mortality has risen from 2009 to 2014.	contradiction
1073	Main Outcomes and Measures Sepsis incidence, outcomes, and trends from 2009-2014 were calculated using regression models and compared with claims-based estimates using International Classification of Diseases, Ninth Revision, Clinical Modification codes for severe sepsis or septic shock.	Sepsis related mortality has risen from 2009 to 2014.	neutral
1073	From 2009-2014, sepsis incidence using clinical criteria was stable (+0.6% relative change/y [95% CI, −2.3% to 3.5%], P = .67) whereas incidence per claims increased (+10.3%/y [95% CI, 7.2% to 13.3%], P < .001).	Sepsis related mortality has risen from 2009 to 2014.	neutral
1081	The group of other antidepressants was associated with the highest adjusted hazard ratios for all cause mortality (1.66, 1.56 to 1.77), attempted suicide/self harm (5.16, 3.90 to 6.83), stroke/transient ischaemic attack (1.37, 1.22 to 1.55), fracture (1.64, 1.46 to 1.84), and epilepsy/seizures (2.24, 1.60 to 3.15), compared with when antidepressants were not being used.	Side effects associated with antidepressants do not represent a mortality risk to postmenopausal women.	contradiction
1081	Absolute risks over 1 year for all cause mortality were 7.04% for patients while not taking antidepressants, 8.12% for those taking tricyclic antidepressants, 10.61% for selective serotonin reuptake inhibitors, and 11.43% for other antidepressants.	Side effects associated with antidepressants do not represent a mortality risk to postmenopausal women.	contradiction
1081	DESIGN Cohort study of people aged 65 and over diagnosed as having depression.	Side effects associated with antidepressants do not represent a mortality risk to postmenopausal women.	neutral
1081	Further research is needed to confirm these findings, but the risks and benefits of different antidepressants should be carefully evaluated when these drugs are prescribed to older people.	Side effects associated with antidepressants do not represent a mortality risk to postmenopausal women.	neutral
1084	The group of other antidepressants was associated with the highest adjusted hazard ratios for all cause mortality (1.66, 1.56 to 1.77), attempted suicide/self harm (5.16, 3.90 to 6.83), stroke/transient ischaemic attack (1.37, 1.22 to 1.55), fracture (1.64, 1.46 to 1.84), and epilepsy/seizures (2.24, 1.60 to 3.15), compared with when antidepressants were not being used.	Side effects associated with antidepressants increases risk of stroke.	entailment
1084	SETTING 570 general practices in the United Kingdom supplying data to the QResearch primary care database.	Side effects associated with antidepressants increases risk of stroke.	neutral
1087	Erectile function, arousal, ejaculation, orgasm, and overall satisfaction domain measures improved significantly in sildenafil compared with placebo patients.	Sildenafil worsens erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.	contradiction
1087	CONCLUSION In our study, sildenafil effectively improved erectile function and other aspects of sexual function in men with sexual dysfunction associated with the use of SRI antidepressants.	Sildenafil worsens erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.	contradiction
1087	Mean depression scores remained consistent with remission (HAM-D score < or =10) in both groups for the study duration.	Sildenafil worsens erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.	neutral
1087	INTERVENTION Patients were randomly assigned to take sildenafil (n = 45) or placebo (n = 45) at a flexible dose starting at 50 mg and adjustable to 100 mg before sexual activity for 6 weeks.	Sildenafil worsens erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.	neutral
1090	In accordance, scanning force microscopy of the Smc5-Mms21 heterodimer shows that the molecule is physically remodeled in an ATP-dependent manner.	Smc5/6 engagment halts the activation of SUMO E3 ligase Mms21 by ATP-dependent remolding.	contradiction
1090	Here we show that the SUMO ligase and the chromosome disjunction functions of Mms21 depend on its docking to an intact and active Smc5/6 complex, indicating that the Smc5/6-Mms21 complex operates as a large SUMO ligase in vivo.	Smc5/6 engagment halts the activation of SUMO E3 ligase Mms21 by ATP-dependent remolding.	neutral
1097	The SHP2 signal-deficient mice (gp130F759/F759 were born normal but displayed splenomegaly and lymphadenopathy and an enhanced acute phase reaction.	Splenomegaly is observed in knockin mouse lacking the SHP-2 MAPK pathway.	entailment
1097	The gp130F759/F759 mice showed prolonged gp130-induced STAT3 activation, indicating a negative regulatory role for SHP2.	Splenomegaly is observed in knockin mouse lacking the SHP-2 MAPK pathway.	neutral
1101	By contrast, on a stiff hydrogel matrix, hESCs show elevated integrin-dependent GSK3 and Src activity that promotes β-catenin degradation and inhibits differentiation.	Stiff substrates encourage mesodermal differentiation by degrading beta-catenin in an integrin-dependent manner.	contradiction
1101	We used human embryonic stem cells (hESCs) to examine whether mechanical features of the extracellular microenvironment could differentially modulate mesoderm specification.	Stiff substrates encourage mesodermal differentiation by degrading beta-catenin in an integrin-dependent manner.	neutral
1102	By contrast, on a stiff hydrogel matrix, hESCs show elevated integrin-dependent GSK3 and Src activity that promotes β-catenin degradation and inhibits differentiation.	Stiff substrates inhibit mesodermal differentiation by degrading beta-catenin in an integrin-dependent manner.	entailment
1102	Mechanistically, Src-driven ubiquitination of E-cadherin by Cbl-like ubiquitin ligase releases P120-catenin to facilitate transcriptional activity of β-catenin, which initiates and reinforces mesoderm differentiation.	Stiff substrates inhibit mesodermal differentiation by degrading beta-catenin in an integrin-dependent manner.	neutral
1103	The unadjusted in-hospital mortality rates were 32.6% for warfarin, 26.5% for NOACs, and 22.5% for no OACs.	Stroke patients with prior use of direct oral anticoagulants have a higher risk of in-hospital mortality than stroke patients with prior use of warfarin.	contradiction
1103	Compared with patients without prior use of OACs, the risk of in-hospital mortality was higher among patients with prior use of warfarin (adjusted risk difference [ARD], 9.0% [97.5% CI, 7.9% to 10.1%]; adjusted odds ratio [AOR], 1.62 [97.5% CI, 1.53 to 1.71]) and higher among patients with prior use of NOACs (ARD, 3.3% [97.5% CI, 1.7% to 4.8%]; AOR, 1.21 [97.5% CI, 1.11-1.32]).	Stroke patients with prior use of direct oral anticoagulants have a higher risk of in-hospital mortality than stroke patients with prior use of warfarin.	contradiction
1103	Compared with patients with prior use of warfarin, patients with prior use of NOACs had a lower risk of in-hospital mortality (ARD, −5.7% [97.5% CI, −7.3% to −4.2%]; AOR, 0.75 [97.5% CI, 0.69 to 0.81]).	Stroke patients with prior use of direct oral anticoagulants have a higher risk of in-hospital mortality than stroke patients with prior use of warfarin.	contradiction
1103	Prior use of NOACs, compared with prior use of warfarin, was associated with lower risk of in-hospital mortality.	Stroke patients with prior use of direct oral anticoagulants have a higher risk of in-hospital mortality than stroke patients with prior use of warfarin.	contradiction
1103	Conclusions and Relevance Among patients with ICH, prior use of NOACs or warfarin was associated with higher in-hospital mortality compared with no OACs.	Stroke patients with prior use of direct oral anticoagulants have a higher risk of in-hospital mortality than stroke patients with prior use of warfarin.	neutral
1103	Design, Setting, and Participants Retrospective cohort study of 141 311 patients with ICH admitted from October 2013 to December 2016 to 1662 Get With The Guidelines–Stroke hospitals.	Stroke patients with prior use of direct oral anticoagulants have a higher risk of in-hospital mortality than stroke patients with prior use of warfarin.	neutral
1103	Importance Although non–vitamin K antagonist oral anticoagulants (NOACs) are increasingly used to prevent thromboembolic disease, there are limited data on NOAC-related intracerebral hemorrhage (ICH).	Stroke patients with prior use of direct oral anticoagulants have a higher risk of in-hospital mortality than stroke patients with prior use of warfarin.	neutral
1103	Acute ICH stroke severity (measured by the National Institutes of Health Stroke Scale) was not significantly different across the 3 groups (median, 9 [interquartile range, 2-21] for warfarin, 8 [2-20] for NOACs, and 8 [2-19] for no OACs).	Stroke patients with prior use of direct oral anticoagulants have a higher risk of in-hospital mortality than stroke patients with prior use of warfarin.	neutral
1105	RESULTS Univariate conditional logistic regression analysis found that cases were more likely to be men, to be of lower estimated social class, and to have had academic difficulties during their medical course, especially in the early years.	Students who perform poorly in the early years of medical school are at increased risk for professional misconduct later in their careers.	entailment
1105	Multivariable analysis showed that male sex (odds ratio 9.80, 95% confidence interval 2.43 to 39.44, P=0.001), lower social class (4.28, 1.52 to 12.09, P=0.006), and failure of early or preclinical examinations (5.47, 2.17 to 13.79, P<0.001) were independently associated with being a case.	Students who perform poorly in the early years of medical school are at increased risk for professional misconduct later in their careers.	entailment
1105	CONCLUSIONS This small study suggests that male sex, a lower socioeconomic background, and early academic difficulties at medical school could be risk factors for subsequent professional misconduct.	Students who perform poorly in the early years of medical school are at increased risk for professional misconduct later in their careers.	entailment
1105	Most doctors with risk factors will not come before the GMC's disciplinary panels.	Students who perform poorly in the early years of medical school are at increased risk for professional misconduct later in their careers.	neutral
1105	OBJECTIVE To determine whether there are risk factors in a doctor's time at medical school that are associated with subsequent professional misconduct.	Students who perform poorly in the early years of medical school are at increased risk for professional misconduct later in their careers.	neutral
1105	DESIGN Matched case-control study.	Students who perform poorly in the early years of medical school are at increased risk for professional misconduct later in their careers.	neutral
1106	RESULTS Univariate conditional logistic regression analysis found that cases were more likely to be men, to be of lower estimated social class, and to have had academic difficulties during their medical course, especially in the early years.	Students who perform poorly in the early years of medical school are less likely to commit professional misconduct later in their careers.	contradiction
1106	Multivariable analysis showed that male sex (odds ratio 9.80, 95% confidence interval 2.43 to 39.44, P=0.001), lower social class (4.28, 1.52 to 12.09, P=0.006), and failure of early or preclinical examinations (5.47, 2.17 to 13.79, P<0.001) were independently associated with being a case.	Students who perform poorly in the early years of medical school are less likely to commit professional misconduct later in their careers.	contradiction
1106	CONCLUSIONS This small study suggests that male sex, a lower socioeconomic background, and early academic difficulties at medical school could be risk factors for subsequent professional misconduct.	Students who perform poorly in the early years of medical school are less likely to commit professional misconduct later in their careers.	contradiction
1106	Setting Records from medical schools and the General Medical Council (GMC).	Students who perform poorly in the early years of medical school are less likely to commit professional misconduct later in their careers.	neutral
1106	PARTICIPANTS 59 doctors who had graduated from any one of eight medical schools in the United Kingdom in 1958-97 and had a proved finding of serious professional misconduct in GMC proceedings in 1999-2004 (cases); 236 controls (four for each case) were selected by systematic sampling from matching graduation cohorts.	Students who perform poorly in the early years of medical school are less likely to commit professional misconduct later in their careers.	neutral
1106	These data were obtained from anonymised copies of the students' progress files held by their original medical schools.	Students who perform poorly in the early years of medical school are less likely to commit professional misconduct later in their careers.	neutral
1109	In 2015, the ten largest contributors to global DALYs among Level 3 risks were high systolic blood pressure (211·8 million [192·7 million to 231·1 million] global DALYs), smoking (148·6 million [134·2 million to 163·1 million]), high fasting plasma glucose (143·1 million [125·1 million to 163·5 million]), high BMI (120·1 million [83·8 million to 158·4 million]), childhood undernutrition (113·3 million [103·9 million to 123·4 million]), ambient particulate matter (103·1 million [90·8 million to 115·1 million]), high total cholesterol (88·7 million [74·6 million to 105·7 million]), household air pollution (85·6 million [66·7 million to 106·1 million]), alcohol use (85·0 million [77·2 million to 93·0 million]), and diets high in sodium (83·0 million [49·3 million to 127·5 million]).	Suboptimal nutrition is a leading cause of premature death	entailment
1109	INTERPRETATION Declines in some key environmental risks have contributed to declines in critical infectious diseases.	Suboptimal nutrition is a leading cause of premature death	neutral
1109	The leading risk factors related to DALYs were dietary risks, tobacco smoking, high body mass index, high blood pressure, high fasting plasma glucose, physical inactivity, and alcohol use.	Suboptimal nutrition is a leading cause of premature death	entailment
1109	Deaths and DALYs related to risk factors were based on systematic reviews and meta-analyses of exposure data and relative risks for risk-outcome pairs.	Suboptimal nutrition is a leading cause of premature death	neutral
1114	The formation of van Gogh bundles depends critically on the synergistic interaction of surfactin-producing and matrix-producing cells.	Surfactin producing cells and exopolymer producing cells cooperate to generate "Van Gogh" bundles that have sliding abilities on specialized media.	entailment
1114	We propose that surfactin-producing cells reduce the friction between cells and their substrate, thereby facilitating matrix-producing cells to form bundles.	Surfactin producing cells and exopolymer producing cells cooperate to generate "Van Gogh" bundles that have sliding abilities on specialized media.	entailment
1114	We show, by time-course microscopy, that these loops migrate by pushing themselves away from the colony.	Surfactin producing cells and exopolymer producing cells cooperate to generate "Van Gogh" bundles that have sliding abilities on specialized media.	neutral
1114	Cell collectives organize themselves into bundles (called "van Gogh bundles") of tightly aligned cell chains that form filamentous loops at the colony edge.	Surfactin producing cells and exopolymer producing cells cooperate to generate "Van Gogh" bundles that have sliding abilities on specialized media.	neutral
1115	RESULTS There was no significant mean treatment group difference in the Oxford Shoulder Score averaged over 2 years (39.07 points for the surgical group vs 38.32 points for the nonsurgical group; difference of 0.75 points [95% CI, -1.33 to 2.84 points]; P = .48) or at individual time points.	Surgical treatment is not superior to non-surgical in treating adults with displaced fractures of the proximal humerus.	entailment
1115	There were also no significant between-group differences over 2 years in the mean SF-12 physical component score (surgical group: 1.77 points higher [95% CI, -0.84 to 4.39 points];	Surgical treatment is not superior to non-surgical in treating adults with displaced fractures of the proximal humerus.	entailment
1115	P = .18); the mean SF-12 mental component score (surgical group: 1.28 points lower [95% CI, -3.80 to 1.23 points]; P = .32); complications related to surgery or shoulder fracture (30 patients in surgical group vs 23 patients in nonsurgical group; P = .28), requiring secondary surgery to the shoulder (11 patients in both groups), and increased or new shoulder-related therapy (7 patients vs 4 patients, respectively; P = .58); and mortality (9 patients vs 5 patients; P = .27).	Surgical treatment is not superior to non-surgical in treating adults with displaced fractures of the proximal humerus.	entailment
1115	CONCLUSIONS AND RELEVANCE Among patients with displaced proximal humeral fractures involving the surgical neck, there was no significant difference between surgical treatment compared with nonsurgical treatment in patient-reported clinical outcomes over 2 years following fracture occurrence.	Surgical treatment is not superior to non-surgical in treating adults with displaced fractures of the proximal humerus.	entailment
1115	OBJECTIVE To evaluate the clinical effectiveness of surgical vs nonsurgical treatment for adults with displaced fractures of the proximal humerus involving the surgical neck.	Surgical treatment is not superior to non-surgical in treating adults with displaced fractures of the proximal humerus.	neutral
1115	Nonsurgical treatment was sling immobilization.	Surgical treatment is not superior to non-surgical in treating adults with displaced fractures of the proximal humerus.	neutral
1115	Ten medical complications (2 cardiovascular events, 2 respiratory events, 2 gastrointestinal events, and 4 others) occurred in the surgical group during the postoperative hospital stay.	Surgical treatment is not superior to non-surgical in treating adults with displaced fractures of the proximal humerus.	neutral
1115	Standardized outpatient and community-based rehabilitation was provided to both groups.	Surgical treatment is not superior to non-surgical in treating adults with displaced fractures of the proximal humerus.	neutral
1119	The s-MSNA in NP (38+/-6.6 impulses/100 beats) was greater (P<0.05) than in NN women (19+/-1.8 impulses/100 beats) despite similar age and body weight but less than in PIH women (P<0.001) (146+/-23.5 impulses/100 beats).	Sympathetic nerve activity is elevated throughout normal pregnancy.	entailment
1119	The findings suggest that the moderate sympathetic hyperactivity during the latter months of normal pregnancy may help to return the arterial pressure to nonpregnant levels, although when the increase in activity is excessive, hypertension may ensue.	Sympathetic nerve activity is elevated throughout normal pregnancy.	entailment
1119	Cardiac baroreceptor reflex sensitivity (BRS) was impaired in NP and PIH women relative to NN.	Sympathetic nerve activity is elevated throughout normal pregnancy.	neutral
1119	CONCLUSIONS Central sympathetic output was increased in women with normal pregnancy and was even greater in the hypertensive pregnant group.	Sympathetic nerve activity is elevated throughout normal pregnancy.	neutral
1119	Muscle sympathetic nerve activity is increased during normotensive pregnancy while mean arterial pressure is maintained or reduced, suggesting baroreflex resetting.	Sympathetic nerve activity is elevated throughout normal pregnancy.	entailment
1119	Pregnant women had elevated baseline sympathetic burst incidence (43 ± 2 vs. 33 ± 2 bursts/100 heart beats, P = 0.01) and total sympathetic activity (1,811 ± 148 vs. 1,140 ± 55 au, P < 0.01) relative to controls.	Sympathetic nerve activity is elevated throughout normal pregnancy.	entailment
1119	Integrated muscle sympathetic burst incidence and total sympathetic activity (microneurography), blood pressure (Finometer), and R-R interval (ECG) were assessed at rest in 11 pregnant women (33 ± 1 wk gestation, 31 ± 1 yr, prepregnancy BMI: 23.5 ± 0.9 kg/m(2)) and 11 nonpregnant controls (29 ± 1 yr; BMI: 25.2 ± 1.7 kg/m(2)).	Sympathetic nerve activity is elevated throughout normal pregnancy.	neutral
1119	However, sympathetic (burst incidence) and cardiovagal gains were negatively correlated in pregnant women (R = -0.7; P = 0.02).	Sympathetic nerve activity is elevated throughout normal pregnancy.	neutral
1119	Sympathetic activation was greater across all 3 minutes of cold pressor stimulation in the pregnant women relative to the nonpregnant controls.	Sympathetic nerve activity is elevated throughout normal pregnancy.	entailment
1119	Peak sympathoexcitation was also greater in pregnant than in nonpregnant women, whether expressed as sympathetic burst frequency (+17±13 versus +7±8 bursts/min, P=0.049), burst incidence (+17±9 versus +6±11 bursts/100 hb, P=0.03), or total activity (+950±660 versus +363±414 arbitrary units, P=0.04).	Sympathetic nerve activity is elevated throughout normal pregnancy.	entailment
1119	Baseline neurovascular transduction was reduced in pregnant women relative to controls when expressed as the quotient of both total resistance and mean arterial pressure and sympathetic burst frequency (0.32±0.07 versus 0.58±0.16 mm Hg/L/min/bursts/min, P<0.001 and 2.4±0.7 versus 3.6±0.8 mm Hg/bursts/min, P=0.001).	Sympathetic nerve activity is elevated throughout normal pregnancy.	neutral
1119	Therefore, mean arterial pressure (93±21 versus 99±6 mm Hg, P=0.4) and total peripheral resistance (12±3 versus 14±3 mm Hg/L/min) were not different between pregnant and nonpregnant women during peak sympathoexcitation.	Sympathetic nerve activity is elevated throughout normal pregnancy.	neutral
1120	The s-MSNA in NP (38+/-6.6 impulses/100 beats) was greater (P<0.05) than in NN women (19+/-1.8 impulses/100 beats) despite similar age and body weight but less than in PIH women (P<0.001) (146+/-23.5 impulses/100 beats).	Sympathetic nerve activity is reduced throughout normal pregnancy.	contradiction
1120	The findings suggest that the moderate sympathetic hyperactivity during the latter months of normal pregnancy may help to return the arterial pressure to nonpregnant levels, although when the increase in activity is excessive, hypertension may ensue.	Sympathetic nerve activity is reduced throughout normal pregnancy.	contradiction
1120	In women with NP, the decrease in sympathetic output occurred despite an insignificant change in blood pressure.	Sympathetic nerve activity is reduced throughout normal pregnancy.	neutral
1120	BACKGROUND Direct recordings from peripheral sympathetic nerves have shown an increased sympathetic drive in pregnancy-induced hypertension (PIH) and preeclampsia (PE).	Sympathetic nerve activity is reduced throughout normal pregnancy.	neutral
1120	Muscle sympathetic nerve activity is increased during normotensive pregnancy while mean arterial pressure is maintained or reduced, suggesting baroreflex resetting.	Sympathetic nerve activity is reduced throughout normal pregnancy.	contradiction
1120	Pregnant women had elevated baseline sympathetic burst incidence (43 ± 2 vs. 33 ± 2 bursts/100 heart beats, P = 0.01) and total sympathetic activity (1,811 ± 148 vs. 1,140 ± 55 au, P < 0.01) relative to controls.	Sympathetic nerve activity is reduced throughout normal pregnancy.	contradiction
1120	Together, these data indicate that the influence of the sympathetic nervous system over arterial blood pressure is reduced in normotensive pregnancy, in terms of both long-term and beat-to-beat regulation of arterial pressure, likely through a baroreceptor-dependent mechanism.	Sympathetic nerve activity is reduced throughout normal pregnancy.	neutral
1120	Baroreflex gain, calculated as the linear relationship between sympathetic burst incidence and DBP, was reduced in pregnant women relative to controls (-3.7 ± 0.5 vs. -5.4 ± 0.5 bursts·100 heart beats(-1)·mmHg(-1), P = 0.03), as was baroreflex gain calculated with total sympathetic activity (-294 ± 24 vs. -210 ± 24 au·100 heart beats(-1)·mmHg(-1); P = 0.03).	Sympathetic nerve activity is reduced throughout normal pregnancy.	neutral
1120	Sympathetic activation was greater across all 3 minutes of cold pressor stimulation in the pregnant women relative to the nonpregnant controls.	Sympathetic nerve activity is reduced throughout normal pregnancy.	contradiction
1120	Peak sympathoexcitation was also greater in pregnant than in nonpregnant women, whether expressed as sympathetic burst frequency (+17±13 versus +7±8 bursts/min, P=0.049), burst incidence (+17±9 versus +6±11 bursts/100 hb, P=0.03), or total activity (+950±660 versus +363±414 arbitrary units, P=0.04).	Sympathetic nerve activity is reduced throughout normal pregnancy.	contradiction
1120	These data indicate that the third trimester of normotensive pregnancy is associated with reductions in neurovascular transduction, which result in the dissociation of sympathetic outflow from hemodynamic outcomes, even during cold pressor-induced sympathoexcitation.	Sympathetic nerve activity is reduced throughout normal pregnancy.	neutral
1120	We tested the hypothesis that, despite an exacerbated muscle sympathetic nerve activity (microneurography) response to cold pressor stimulation, the blunting of neurovascular transduction in normotensive pregnant women would result in similar changes in vascular resistance and mean arterial pressure (Finometer) relative to nonpregnant controls.	Sympathetic nerve activity is reduced throughout normal pregnancy.	neutral
